id,lon,lat,title,roi_err,w_code,level,far_fog_color,s_value,l_value,v_value,hsl,road_code
48,37.7585460,128.8047310,문막1_20170129_1500-1600_주간_눈안개_3.avi,N,fog,0,145,0,0,1020,0,0
49,37.7585460,128.8047310,성산2교_20170105_1400-1500_주간_눈안개.avi,N,fog,2,164,0,0,21,0,0
50,37.7585460,128.8047310,성산2교_20170105_1400-1500_주간_눈안개_2.avi,N,fog,2,165,0,0,21,0,0
51,37.7585460,128.8047310,성산2교_20170105_1400-1500_주간_눈안개_3.avi,N,fog,3,165,0,0,0,0,0
52,37.7585460,128.8047310,성산2교_20170108_1630-1700_주간_안개.avi,N,fog,1,166,0,0,0,0,0
53,37.7585460,128.8047310,성산2교_20170108_1630-1700_주간_안개_2.avi,N,fog,1,163,0,0,0,0,0
54,37.7585460,128.8047310,성산2교_20170108_1630-1700_주간_안개_3.avi,N,fog,1,154,0,0,0,0,0
55,37.7585460,128.8047310,성산2교_20170113_1400-1430_주간_눈흔들림_2.avi,N,snow,0,96,0,0,1020,0,0
56,37.7585460,128.8047310,성산2교_20170113_1400-1430_주간_눈흔들림_3.avi,N,snow,0,87,0,0,1020,0,0
57,37.7585460,128.8047310,성산2교_20170120_1100-1200_주간_눈안개흔들림.avi,N,snow,1,157,0,0,1020,0,0
58,37.7585460,128.8047310,성산2교_20170120_1100-1200_주간_눈안개흔들림_2.avi,N,fog,1,161,0,0,1020,0,0
59,37.7585460,128.8047310,성산2교_20170120_1100-1200_주간_눈안개흔들림_3.avi,N,fog,2,162,0,0,0,0,0
60,37.7585460,128.8047310,성산2교_20170120_1300-1400_주간_눈안개흔들림.avi,N,snow,1,137,0,0,204,0,0
61,37.7585460,128.8047310,성산2교_20170120_1300-1400_주간_눈안개흔들림_2.avi,N,snow,1,153,0,0,134,0,0
62,37.7585460,128.8047310,성산2교_20170120_1300-1400_주간_눈안개흔들림_3.avi,N,fog,1,156,0,0,66,0,0
63,37.7585460,128.8047310,소사리_20170101_0800-0830_주간_안개.avi,N,fog,1,163,0,0,1020,0,0
64,37.7585460,128.8047310,소사리_20170101_0800-0830_주간_안개_2.avi,N,fog,1,163,0,0,1020,0,0
65,37.7585460,128.8047310,소사리_20170101_0800-0830_주간_안개_3.avi,N,fog,1,162,0,0,1020,0,0
66,37.7585460,128.8047310,소사리_20170102_1330_1400_주간_안개.avi,N,fog,1,168,0,0,1020,0,0
67,37.7585460,128.8047310,소사리_20170102_1330_1400_주간_안개_2.avi,N,fog,1,168,0,0,780,0,0
68,37.7585460,128.8047310,소사리_20170102_1330_1400_주간_안개_3.avi,N,fog,1,167,0,0,1020,0,0
69,37.7585460,128.8047310,소사리_20170107_0800-0830_주간_안개.avi,N,fog,1,163,0,0,1020,0,0
70,37.7585460,128.8047310,소사리_20170107_0800-0830_주간_안개_2.avi,N,fog,1,164,0,0,1020,0,0
71,37.7585460,128.8047310,소사리_20170107_0800-0830_주간_안개_3.avi,N,fog,1,164,0,0,1020,0,0
72,37.7585460,128.8047310,소사리_20170112_0800-0830_주간_안개.avi,N,fog,1,156,0,0,1020,0,0
1,37.7585460,128.8047310,소사리_20170112_0800-0830_주간_안개_2.avi,N,fog,0,0,0,0,1000,0,0
2,37.7585460,128.8047310,소사리_20170112_0800-0830_주간_안개_3.avi,N,fog,0,0,0,0,1000,0,0
3,37.7585460,128.8047310,소사리_20170113_1200-1230_주간_눈.avi,N,snow,0,0,0,0,1000,0,0
4,37.7585460,128.8047310,소사리_20170113_1200-1230_주간_눈_2.avi,N,snow,0,0,0,0,1000,0,0
5,37.7585460,128.8047310,소사리_20170113_1200-1230_주간_눈_3.avi,N,snow,0,0,0,0,1000,0,0
6,37.7585460,128.8047310,소사리_20170120_0800-0830_주간_눈안개.avi,N,snow,0,0,0,0,1000,0,0
7,37.7585460,128.8047310,소사리_20170120_0800-0830_주간_눈안개_2.avi,N,snow,0,0,0,0,1000,0,0
8,37.7585460,128.8047310,소사리_20170120_0800-0830_주간_눈안개_3.avi,N,snow,0,0,0,0,1000,0,0
9,37.7585460,128.8047310,소사리_20170120_1100-1130_주간_눈안개.avi,N,snow,0,0,0,0,1000,0,0
10,37.7585460,128.8047310,소사리_20170120_1100-1130_주간_눈안개_2.avi,N,snow,0,0,0,0,1000,0,0
11,37.7585460,128.8047310,소사리_20170120_1100-1130_주간_눈안개_3.avi,N,snow,0,0,0,0,1000,0,0
12,37.7585460,128.8047310,소사리_20170121_0800-0830_주간_안개.avi,N,fog,0,0,0,0,1000,0,0
13,37.7585460,128.8047310,소사리_20170121_0800-0830_주간_안개_2.avi,N,fog,0,0,0,0,1000,0,0
14,37.7585460,128.8047310,소사리_20170121_0800-0830_주간_안개_3.avi,N,fog,0,0,0,0,1000,0,0
15,37.7585460,128.8047310,소사리_20170129_1500-1600_주간_눈.avi,N,snow,0,0,0,0,1000,0,0
16,37.7585460,128.8047310,소사리_20170129_1500-1600_주간_눈_2.avi,N,snow,0,132,0,0,1020,0,0
17,37.7585460,128.8047310,소사리_20170129_1500-1600_주간_눈_3.avi,N,snow,0,132,0,0,1020,0,0
18,37.7585460,128.8047310,소사리_20170130_0900-1000_주간_눈.avi,N,snow,1,147,0,0,1020,0,0
19,37.7585460,128.8047310,소사리_20170130_0900-1000_주간_눈_2.avi,N,snow,1,150,0,0,1020,0,0
20,37.7585460,128.8047310,소사리_20170130_0900-1000_주간_눈_3.avi,N,snow,1,148,0,0,1020,0,0
21,37.7585460,128.8047310,속사_20170113_1200-1230_주간_눈.avi,N,snow,1,154,0,0,108,0,0
22,37.7585460,128.8047310,속사_20170113_1200-1230_주간_눈_2.avi,N,snow,1,153,0,0,107,0,0
23,37.7585460,128.8047310,속사_20170113_1200-1230_주간_눈_3.avi,N,snow,1,148,0,0,106,0,0
24,37.7585460,128.8047310,속사_20170120_1100-1130_주간_눈안개.avi,N,fog,1,160,0,0,51,0,0
25,37.7585460,128.8047310,속사_20170120_1100-1130_주간_눈안개_2.avi,N,snow,1,162,0,0,0,0,0
26,37.7585460,128.8047310,속사_20170120_1100-1130_주간_눈안개_3.avi,N,snow,1,159,0,0,0,0,0
27,37.7585460,128.8047310,속사_20170120_1600-1630_주간_눈_3.avi,N,snow,1,131,0,0,1020,0,0
28,37.7585460,128.8047310,속사_20170129_1500-1600_주간_눈.avi,N,snow,1,145,0,0,111,0,0
